year,code,q1,q2,q3,race_name,position,rank,laps,fastestLapTime,tot_pit_time,labels ,points,statusId
2023,TSU,1:10.837,NA,NA,São Paulo Grand Prix,16,9,71,1:14.231,1486956,Finished,2,1
2023,PIA,1:10.519,1:10.330,NA,São Paulo Grand Prix,10,14,69,1:14.310,1669370,Laps +2 ,0,12
2023,SAR,1:11.035,NA,NA,São Paulo Grand Prix,19,11,70,1:15.738,1497183,Lap +1 ,0,11
2023,HAM,1:34.307,1:33.837,NA,Las Vegas Grand Prix,11,7,50,1:35.716,47555,Finished,6,1
2023,ALO,1:34.422,1:33.617,1:33.555,Las Vegas Grand Prix,10,9,50,1:36.559,52518,Finished,2,1
2023,HUL,1:34.265,1:33.979,NA,Las Vegas Grand Prix,13,19,45,1:37.565,47607,Engine,0,5
2023,PER,1:34.574,1:33.855,NA,Las Vegas Grand Prix,12,3,50,1:35.939,55167,Finished,15,1
2023,RIC,1:34.683,1:34.308,NA,Las Vegas Grand Prix,15,14,50,1:37.108,22242,Finished,0,1
2023,BOT,1:34.305,1:33.809,1:33.525,Las Vegas Grand Prix,8,17,50,1:37.562,65489,Finished,0,1
2023,MAG,1:34.337,1:33.664,1:33.537,Las Vegas Grand Prix,9,13,50,1:37.455,43479,Finished,0,1
2023,VER,1:34.190,1:33.572,1:33.104,Las Vegas Grand Prix,3,1,50,1:35.614,48009,Finished,25,1
2023,SAI,1:33.851,1:33.338,1:32.770,Las Vegas Grand Prix,2,6,50,1:35.984,43891,Finished,8,1
2023,OCO,1:34.834,NA,NA,Las Vegas Grand Prix,17,4,50,1:36.637,21763,Finished,12,1
2023,STR,1:34.504,1:34.199,NA,Las Vegas Grand Prix,14,5,50,1:36.584,44792,Finished,10,1
2023,GAS,1:34.272,1:33.494,1:33.239,Las Vegas Grand Prix,5,11,50,1:36.913,22262,Finished,0,1
2023,LEC,1:33.617,1:32.775,1:32.726,Las Vegas Grand Prix,1,2,50,1:35.669,22559,Finished,18,1
2023,RUS,1:34.137,1:33.351,1:33.112,Las Vegas Grand Prix,4,8,50,1:36.071,43209,Finished,4,1
2023,ALB,1:34.634,1:33.588,1:33.323,Las Vegas Grand Prix,6,12,50,1:37.357,21242,Finished,0,1
2023,TSU,1:36.447,NA,NA,Las Vegas Grand Prix,20,18,46,1:37.587,41513,Gearbox,0,6
2023,ZHO,1:34.849,NA,NA,Las Vegas Grand Prix,18,15,50,1:37.375,22155,Finished,0,1
2023,PIA,1:34.850,NA,NA,Las Vegas Grand Prix,19,10,50,1:35.490,43804,Finished,2,1
2023,SAR,1:34.525,1:33.733,1:33.513,Las Vegas Grand Prix,7,16,50,1:37.740,21367,Finished,0,1
2023,HAM,1:24.437,1:24.359,NA,Abu Dhabi Grand Prix,11,9,58,1:28.372,44240,Finished,2,1
2023,ALO,1:24.501,1:24.131,1:24.084,Abu Dhabi Grand Prix,7,7,58,1:28.256,44303,Finished,6,1
2023,HUL,1:24.425,1:24.213,1:24.108,Abu Dhabi Grand Prix,8,15,58,1:29.217,43942,Finished,0,1
2023,PER,1:24.209,1:24.116,1:24.171,Abu Dhabi Grand Prix,9,4,58,1:27.493,42720,Finished,12,1
2023,RIC,1:24.461,1:24.442,NA,Abu Dhabi Grand Prix,15,11,58,1:28.571,43432,Finished,0,1
2023,BOT,1:24.788,NA,NA,Abu Dhabi Grand Prix,18,19,57,1:29.863,22665,Lap +1,0,11
2023,MAG,1:24.764,NA,NA,Abu Dhabi Grand Prix,17,20,57,1:29.934,44927,Lap +1,0,11
2023,VER,1:24.160,1:23.740,1:23.445,Abu Dhabi Grand Prix,1,1,58,1:26.993,42937,Finished,26,1
2023,SAI,1:24.738,NA,NA,Abu Dhabi Grand Prix,16,18,57,1:29.452,42793,Retired,0,31
2023,OCO,1:24.565,1:24.391,NA,Abu Dhabi Grand Prix,12,12,58,1:30.033,22160,Finished,0,1
2023,STR,1:24.405,1:24.422,NA,Abu Dhabi Grand Prix,13,10,58,1:28.050,43533,Finished,1,1
2023,GAS,1:24.600,1:24.078,1:24.548,Abu Dhabi Grand Prix,10,13,58,1:29.016,46569,Finished,0,1
2023,LEC,1:24.459,1:23.969,1:23.584,Abu Dhabi Grand Prix,2,2,58,1:28.199,43165,Finished,18,1
2023,NOR,1:24.368,1:23.920,1:23.816,Abu Dhabi Grand Prix,5,5,58,1:28.164,45493,Finished,10,1
2023,RUS,1:24.337,1:24.013,1:23.788,Abu Dhabi Grand Prix,4,3,58,1:28.187,43734,Finished,15,1
2023,ALB,1:24.298,1:24.439,NA,Abu Dhabi Grand Prix,14,14,58,1:27.845,44089,Finished,0,1
2023,TSU,1:24.286,1:24.207,1:23.968,Abu Dhabi Grand Prix,6,8,58,1:29.256,21486,Finished,4,1
2023,ZHO,1:25.159,NA,NA,Abu Dhabi Grand Prix,19,17,58,1:28.746,45212,Finished,0,1
2023,PIA,1:24.487,1:24.278,1:23.782,Abu Dhabi Grand Prix,3,6,58,1:28.138,42853,Finished,8,1
2023,SAR,NA,NA,NA,Abu Dhabi Grand Prix,20,16,58,1:28.580,44004,Finished,0,1
